mode,model_dir,load_file,save_file,roles,n_episodes,batch_size,dataset,use_categories,vocabulary_size,embedding_size,n_active_images,explore,gibbs_temperature,sender_type,n_informed_filters,loss,batch_mode,memory_sampling_distribution,shared_experience,shared_embedding,out_activation,stop_when_goal_is_passed
train,models/local_only,FALSE,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,TRUE,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,FALSE,FALSE,softmax,TRUE
train,models/local_only,FALSE,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,TRUE,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,TRUE,FALSE,softmax,TRUE
train,models/local_only,FALSE,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,TRUE,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,FALSE,TRUE,softmax,TRUE
train,models/local_only,FALSE,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,TRUE,50,50,4,gibbs,0.1,informed,40,binary_crossentropy,sample,linear,TRUE,TRUE,softmax,TRUE
train,models/local_only,FALSE,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,TRUE,50,50,4,gibbs,0.1,agnostic,40,binary_crossentropy,sample,linear,FALSE,FALSE,softmax,TRUE
train,models/local_only,FALSE,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,TRUE,50,50,4,gibbs,0.1,agnostic,40,binary_crossentropy,sample,linear,TRUE,FALSE,softmax,TRUE
train,models/local_only,FALSE,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,TRUE,50,50,4,gibbs,0.1,agnostic,40,binary_crossentropy,sample,linear,FALSE,TRUE,softmax,TRUE
train,models/local_only,FALSE,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,TRUE,50,50,4,gibbs,0.1,agnostic,40,binary_crossentropy,sample,linear,TRUE,TRUE,softmax,TRUE
train,models/local_only,FALSE,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,TRUE,50,50,4,none,0,informed,40,binary_crossentropy,sample,linear,FALSE,FALSE,softmax,TRUE
train,models/local_only,FALSE,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,TRUE,50,50,4,none,0,informed,40,binary_crossentropy,sample,linear,TRUE,FALSE,softmax,TRUE
train,models/local_only,FALSE,{TIMESTAMP}-{roles:.3}-{n_active_images}-{explore:.3}-{embedding_size}-{n_informed_filters},switch,75000,20,data/imagenet-200x65-vgg19.train.emb.gz,TRUE,50,50,4,none,0,informed,40,binary_crossentropy,sample,linear,FALSE,TRUE,softmax,TRUE
