,sender_name,receiver_name,active_images,target_image,chosen_symbol,chosen_symbol_p,chosen_image,chosen_image_p,chosen_image_index,success
0,01.sender,02.receiver,4141:3625,4141,37,0.9982361793518066,4141,0.9828482866287231,1,1
1,01.sender,02.receiver,9204:7828,9204,49,0.9993569254875183,9204,0.996711015701294,1,1
2,01.sender,02.receiver,6261:3234,6261,49,0.9952093958854675,6261,0.9998151659965515,1,1
3,01.sender,02.receiver,9843:6590,9843,37,0.9968173503875732,9843,0.9705681800842285,1,1
4,01.sender,02.receiver,5137:6220,5137,37,0.8230780959129333,5137,0.7345718741416931,0,1
5,01.sender,02.receiver,9319:9209,9319,49,0.9794482588768005,9319,0.9938656687736511,1,1
6,01.sender,02.receiver,1620:3489,1620,49,0.6536425352096558,3489,0.5879542827606201,1,0
7,01.sender,02.receiver,7377:622,7377,37,0.9956728219985962,7377,0.9628593921661377,0,1
8,01.sender,02.receiver,205:6026,205,37,0.8267834186553955,205,0.8196612000465393,1,1
9,01.sender,02.receiver,8298:1713,8298,37,0.9656844139099121,8298,0.9603548049926758,0,1
10,01.sender,02.receiver,3701:57,3701,49,0.7734324932098389,3701,0.8738330006599426,1,1
11,01.sender,02.receiver,1861:5529,1861,37,0.8263252973556519,1861,0.5676679611206055,0,1
12,01.sender,02.receiver,1726:1005,1726,49,0.9998291730880737,1726,0.9996387958526611,1,1
13,01.sender,02.receiver,2592:9543,2592,37,0.6831971406936646,2592,0.7126297354698181,0,1
14,01.sender,02.receiver,2259:6416,2259,49,0.9998729228973389,2259,0.9999825954437256,0,1
15,01.sender,02.receiver,1134:7998,1134,37,0.7503489851951599,7998,0.55572110414505,0,0
16,01.sender,02.receiver,1917:5827,1917,49,0.6713331937789917,1917,0.6670055985450745,1,1
17,01.sender,02.receiver,3245:5425,3245,37,0.9987064599990845,3245,0.9931214451789856,1,1
18,01.sender,02.receiver,286:4294,286,49,0.8532503843307495,286,0.9626874327659607,0,1
19,01.sender,02.receiver,9787:630,9787,37,0.9987480640411377,9787,0.9962485432624817,1,1
20,01.sender,02.receiver,8247:129,8247,49,0.9997828602790833,8247,0.9999890327453613,1,1
21,01.sender,02.receiver,1884:1793,1884,49,0.9766727685928345,1884,0.9200146198272705,1,1
22,01.sender,02.receiver,2204:5353,2204,37,0.9987419247627258,2204,0.9882384538650513,0,1
23,01.sender,02.receiver,6607:9715,6607,49,0.9951558113098145,6607,0.9890658855438232,0,1
24,01.sender,02.receiver,3537:6740,3537,49,0.9143711924552917,3537,0.544696569442749,1,1
25,01.sender,02.receiver,368:6172,368,37,0.5252295136451721,368,0.8756942749023438,0,1
26,01.sender,02.receiver,2245:8906,2245,49,0.9908155202865601,2245,0.9993459582328796,0,1
27,01.sender,02.receiver,5155:1112,5155,49,0.9935851693153381,5155,0.8588358759880066,0,1
28,01.sender,02.receiver,3401:5026,3401,49,0.9702025651931763,3401,0.9907393455505371,1,1
29,01.sender,02.receiver,9015:1503,9015,49,0.945844829082489,9015,0.9653344750404358,1,1
30,01.sender,02.receiver,3199:8860,3199,49,0.9074411392211914,3199,0.9770616888999939,0,1
31,01.sender,02.receiver,9403:2847,9403,49,0.5120123624801636,2847,0.7765128016471863,1,0
32,01.sender,02.receiver,2991:5386,2991,37,0.8765791058540344,2991,0.9773763418197632,0,1
33,01.sender,02.receiver,7578:5102,7578,37,0.7833824157714844,5102,0.9196094870567322,0,0
34,01.sender,02.receiver,3208:6649,3208,37,0.9389755725860596,6649,0.6843461990356445,0,0
35,01.sender,02.receiver,5162:9642,5162,37,0.9223244190216064,5162,0.823266863822937,0,1
36,01.sender,02.receiver,3369:4003,3369,37,0.9964460730552673,3369,0.9848669171333313,0,1
37,01.sender,02.receiver,4582:7514,4582,49,0.9986900687217712,4582,0.9996057152748108,1,1
38,01.sender,02.receiver,5367:6544,5367,37,0.995591402053833,5367,0.929402768611908,0,1
39,01.sender,02.receiver,3633:8546,3633,37,0.9998586177825928,3633,0.9975683093070984,1,1
40,01.sender,02.receiver,7202:5,7202,37,0.9890164136886597,7202,0.987895131111145,1,1
41,01.sender,02.receiver,8861:8694,8861,37,0.9999697208404541,8861,0.9979149699211121,1,1
42,01.sender,02.receiver,2095:7902,2095,37,0.9030208587646484,2095,0.9072655439376831,1,1
43,01.sender,02.receiver,7155:3002,7155,37,0.9968277812004089,7155,0.9983822107315063,0,1
44,01.sender,02.receiver,6751:921,6751,49,0.8811302781105042,6751,0.9492567777633667,1,1
45,01.sender,02.receiver,4395:6547,4395,49,0.9993129968643188,4395,0.9972687363624573,0,1
46,01.sender,02.receiver,435:4681,435,49,0.9999227523803711,435,0.9999911785125732,1,1
47,01.sender,02.receiver,8508:1497,8508,37,0.9836358428001404,8508,0.9465771913528442,1,1
48,01.sender,02.receiver,3435:9135,3435,49,0.8772450685501099,3435,0.541886568069458,0,1
49,01.sender,02.receiver,1258:6946,1258,49,0.8550733327865601,1258,0.5705597400665283,1,1
50,01.sender,02.receiver,5025:2286,5025,37,0.9986934065818787,5025,0.9777395129203796,1,1
51,01.sender,02.receiver,5042:7133,5042,37,0.5140172243118286,7133,0.8465320467948914,0,0
52,01.sender,02.receiver,16:8356,16,37,0.9799326658248901,16,0.8880667090415955,1,1
53,01.sender,02.receiver,5703:7664,5703,49,0.5267142653465271,5703,0.7011966109275818,1,1
54,01.sender,02.receiver,9296:2947,9296,49,0.6136770248413086,2947,0.5756610631942749,1,0
55,01.sender,02.receiver,8170:8666,8170,49,0.9873195886611938,8170,0.9444155693054199,0,1
56,01.sender,02.receiver,7391:8113,7391,49,0.9811848998069763,7391,0.9974029660224915,0,1
57,01.sender,02.receiver,5632:8777,5632,37,0.9802863001823425,5632,0.7887905836105347,1,1
58,01.sender,02.receiver,9935:2641,9935,37,0.7907668352127075,9935,0.8251502513885498,1,1
59,01.sender,02.receiver,6658:5623,6658,37,0.9683209657669067,6658,0.9906783103942871,0,1
60,01.sender,02.receiver,5369:712,5369,37,0.9926775693893433,5369,0.9853506088256836,0,1
61,01.sender,02.receiver,1043:1503,1043,49,0.6388432383537292,1043,0.7271854281425476,1,1
62,01.sender,02.receiver,2099:495,2099,37,0.9997391104698181,2099,0.9937028288841248,0,1
63,01.sender,02.receiver,9154:2310,9154,37,0.9997318387031555,9154,0.995749831199646,1,1
64,01.sender,02.receiver,5339:1847,5339,37,0.9019824266433716,1847,0.5022203922271729,0,0
